,review_score,review_comment_message,Sentiments
0,5,Recebi bem antes do prazo estipulado.,Thích
1,5,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,Thích
2,4,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,Thích
3,4,"Mas um pouco ,travando...pelo valor ta Boa.
",Thích
4,5,"Vendedor confiável, produto ok e entrega antes do prazo.",Thích
5,5,Loja nota 10,Thích
6,5,obrigado pela atençao amim dispensada,Thích
7,5,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",Thích
8,5,relógio muito bonito e barato.,Thích
9,4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",Thích
10,5,"Recomendo ,",Thích
11,5,muito boa ,Thích
12,5,"Tô completamente apaixonada, loja super responsável e confiável!",Thích
13,5,Muito bom. muito cheiroso.,Thích
14,5,"otimo vendedor chegou ate antes do prazo , adorei o produto",Thích
15,5,Processo de compra tranquilo e eficiente.,Thích
16,5,Tomara q dure pois é de pelinho.,Thích
17,5,boa,Thích
18,5,MT lindo,Thích
19,5,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",Thích
20,5,"Amei achei lindo ,muito delicado adorei",Thích
21,4,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",Thích
22,5,Recomendo o vendedor... ,Thích
23,5,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",Thích
24,5,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,Thích
25,5,Maravilha ,Thích
26,5,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,Thích
27,5,Super rápido.,Thích
28,5,"Satisfeito
",Thích
29,5,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",Thích
30,5,OK RECOMENDO,Thích
31,5,"Produto de muito boa qualidade, chegou antes do prazo prometido",Thích
32,5,"Entrega muito rápida
Parabéns",Thích
33,4,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",Thích
34,5,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",Thích
35,5,super rapido a entrega .... chegou antes da data... ,Thích
36,5,Recomendo a todos os clientes,Thích
37,5,OTIMA,Thích
38,5,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",Thích
39,5,Sempre compro na lannister.Pra mim é a melhor loja on-line,Thích
40,5,Produto de qualidade excelente,Thích
41,5,Ótimo custo-benefício,Thích
42,5,OK,Thích
43,5,Gostei da atenção com a entrega,Thích
44,4," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",Thích
45,5,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",Thích
46,5,"Entregou no prazo certo, fiquei feliz com a compra que fiz",Thích
47,5,Lindo relógio adorei,Thích
48,5,Muito bom alta qualidade!,Thích
49,5,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",Thích
50,5,Muito bom,Thích
51,5,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",Thích
52,5,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",Thích
53,5,Ainda não tive a oportunidade de testar,Thích
54,5,nada a declarar,Thích
55,5,O produto chegou muito rapido e de boa qualidade recomendo o produto,Thích
56,5,Recomendo,Thích
57,4,Atendeu minha expectativa.,Thích
58,5,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,Thích
59,5,"otimo produto só nao veio manual, mas sem problemas.",Thích
60,4,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",Thích
61,5,Excelente produto.,Thích
62,5,Tudo certo,Thích
63,5,Produto muito bom,Thích
64,5,super recomendo produto profissional de qualidade,Thích
65,5,muito bom e rapido quando vi ja tinha chegado,Thích
66,5,O produto chegou muito bem,Thích
67,5,otimo,Thích
68,5,Muito satisfeito,Thích
69,4,parabéns para loja e revendedor apesar de ter demorado um pouco,Thích
70,5,"Entregue dentro do prazo, e com bom período de validade.",Thích
71,5,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",Thích
72,5,sempre comprei no stark e estou satisfeito.,Thích
73,5,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,Thích
74,5,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,Thích
75,5,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,Thích
76,5,"Tudo ok,o baratheon sempre responsável com a suas entregas.",Thích
77,5,A,Thích
78,5,entrega rapida,Thích
79,4,foi bom,Thích
80,5,Mercadoria certa entregue no prazo combinado. Grata,Thích
81,5,Entrega bem antes do prazo perfeito!!,Thích
82,5,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,Thích
83,5,bem rapido a entrega e bom comprar com vcs,Thích
84,4,"Entrega super rápida, parabéns!",Thích
85,4,Tudo rápido e eficiente.,Thích
86,5,Creme maravilhoso e entrega super rápida,Thích
87,4,"Chegou hoje 
sem comentários",Thích
88,5,Muito bom! Aquilo que esperava!,Thích
89,5,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",Thích
90,5,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,Thích
91,5,Recomendo.,Thích
92,5,ótimo chegou bem antes do prazo .,Thích
93,5,Entregue no prazo produto muito bom.,Thích
94,5,Acho q deveriam mandar por sedex ao invés de pac,Thích
95,5,Lindo... Só faltou instruções da troca de pulseiras.,Thích
96,5,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",Thích
97,5,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",Thích
98,5,"recebi o produto dentro do prazo informado, ainda não utilizei.",Thích
99,4,"O pedido chegou antes do combinado, muito bom.",Thích
100,4,produto entregue conforme anunciado.,Thích
101,5,LOJA 10,Thích
102,4,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",Thích
103,5,"Chegou antes do prazo!
Produto excelente!",Thích
104,4,trabalho com profissionalismo das lojas lannister. indico com certeza,Thích
105,5,super recomendo o produto que é muito bom!,Thích
106,5,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",Thích
107,4," A loja postou o produto de e mediato o correio demorou um pouco
",Thích
108,5,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",Thích
109,4,Muito bom desde da compra a entrega td direitinho e rapido,Thích
110,5,Tudo ok!,Thích
111,5,Entrega e qualidade do produto de acordo com o esperado.,Thích
112,5,Excelente recomendo,Thích
113,4,"muito bom, recomendo o produto.",Thích
114,5,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,Thích
115,4,bom em todos os aspectos,Thích
116,5,Até hoje estou satisfeito com a sbmarino,Thích
117,5,Gostei!,Thích
118,5,Chegou antes do prazo é a cabeceira é linda.,Thích
119,5,10,Thích
120,5,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,Thích
121,5,Atendimento excelente,Thích
122,4,Gostei ,Thích
123,5,Toalha do maior campeão do Brasil maravilhosa ,Thích
124,5,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",Thích
125,5,Até agora tudo bem estou esperando a entrega do produto,Thích
126,5,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",Thích
127,5,"O produto foi entregue antes do prazo.
",Thích
128,4,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",Thích
129,5,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",Thích
130,4,"otimo
",Thích
131,5,"entrega rápida, produto conforme esperado",Thích
132,5,Tudo como anunciado....Ótimo produto...,Thích
133,4," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",Thích
134,5,Muito satisfeito.,Thích
135,4,Otimo produto porem caro demais !!! ,Thích
