Unnamed: 0,review_score,review_comment_message
0,5,Recebi bem antes do prazo estipulado.
1,5,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa
2,4,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho
3,4,"Mas um pouco ,travando...pelo valor ta Boa.
"
4,5,"Vendedor confiável, produto ok e entrega antes do prazo."
5,5,Loja nota 10
6,5,obrigado pela atençao amim dispensada
7,5,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas."
8,5,relógio muito bonito e barato.
9,4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo."
10,5,"Recomendo ,"
11,5,muito boa 
12,5,"Tô completamente apaixonada, loja super responsável e confiável!"
13,5,Muito bom. muito cheiroso.
14,5,"otimo vendedor chegou ate antes do prazo , adorei o produto"
15,5,Processo de compra tranquilo e eficiente.
16,5,Tomara q dure pois é de pelinho.
17,5,boa
18,5,MT lindo
19,5,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
"
20,5,"Amei achei lindo ,muito delicado adorei"
21,4,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo."
22,5,Recomendo o vendedor... 
23,5,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
"
24,5,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!
25,5,Maravilha 
26,5,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório 
27,5,Super rápido.
28,5,"Satisfeito
"
29,5,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... "
30,5,OK RECOMENDO
31,5,"Produto de muito boa qualidade, chegou antes do prazo prometido"
32,5,"Entrega muito rápida
Parabéns"
33,4,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice."
34,5,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo ."
35,5,super rapido a entrega .... chegou antes da data... 
36,5,Recomendo a todos os clientes
37,5,OTIMA
38,5,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto."
39,5,Sempre compro na lannister.Pra mim é a melhor loja on-line
40,5,Produto de qualidade excelente
41,5,Ótimo custo-benefício
42,5,OK
43,5,Gostei da atenção com a entrega
44,4," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
."
45,5,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon."
46,5,"Entregou no prazo certo, fiquei feliz com a compra que fiz"
