Unnamed: 0,review_comment_message,Sentimentabds
0,Absolutely wonderful - silky and sexy and comfortable,
1,This dress is perfection! so pretty and flattering.,
2,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,
3,These pants are even better in person. the only downside is that they need to be dry cleaned.,
4,"Wouldn't have given them a second look but tried them on in store of a whim. love, love!!",
5,Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.,
6,"Very comfortable, material is good, cut out on sleeves flattering",
7,"This sweater is perfect for fall...it's roomy, warm, super comfy and the color really pops.",
8,"Love the color and style, but material snags easily",
9,Loved this top and was really happy to find it on sale!,
10,Loved this top. great design. comfortable and unique. soft material,
11,,
12,,
13,,
14,"Runs big and looked unflattering. i am petite, might work on someone taller.",
15,"Perfect dress for hot, humid, sticky weather.",
16,"This one totally worked for me. love the color, length, and style.",
17,,
18,,
19,,
20,,
21,,
22,"For a now feel, that comfy and well made, this was a great choice!",
23,,
24,This is my new favorite top! looks and fits as described.,
25,,
26,"Really pretty, but runs at least a full size small.",
27,"This is a perfect jacket over any shirt, tee, or dress. jacket is well made and goes with anything!",
28,,
29,Absolutely love this dress! fits true to size and makes anyone look fabulous,
30,"I could wear this every day, it is stylish and comfortable",
31,Love it; the bit of stretch in the denim makes it less stiff than traditional denim.,
32,,
33,"I'm 5'4"" 125 lbs ordered small. fits perfect. super soft denim. love the color love the worn in feel",
35,,
36,Nice fabric and cute design. a little low cut.,
37,"I absolutely love this sweater!! it's soft, easy to wash, and looks great!",
38,"I had high hopes for this top. really boxy, short",
39,,
40,,
41,"Love this. it's heavy/warm, stylish and a great throw on any outfit. oversized style.",
42,,
43,,
44,"Nice tee, true red,3/4 sleeves, lacing is a nice touch. good quality and great sale price.",
45,This is the most flattering shirt--love the fit and color!,
46,,
47,"This top is soo pretty with a cool edge.
it looks and feels like really good quality.",
48,Extremely flattering. an easy dress to wear - good choice for both day and evening,
49,Perfect trans top.  skinnies or boyfriend and booties.  love the mixed prints,
50,,
52,Color is not like photo and fit doesn't work if you're busty,
53,,
54,,
55,I absolutely love everything about this dress. it can be dressed up or down. no complaints.,
56,This is a great top to pair with jeans to step a casual night up a notch.,
57,,
58,This blouse fit better than i expected. looks great with jeans and is an easy go to top!,
59,,
60,Love love love this jacket!! great spring and fall weather.. very stylish!!,
61,,
62,"The jacket is great, the quality is very good and the fit too, the best part is how it looks !",
63,,
64,,
65,,
66,,
67,,
68,Fits very strange. odd cut. does not look well on.,
69,"This is truly unique top, the  detail around the neck is a nice change!!!",
70,It looks like you are wearing cargo shorts. really unflattering. avoid buying this skirt,
71,,
72,I have bought other leggings at retailer and they were fine. these run small. i have to return.,
73,Love love love these leggings and what an amazing price point!!!,
74,Cute comfortable top. fits well and will look great with skinny jeans.,
75,Perfect fit! can be dressed up or down! more colors please!,
76,These pants are awesome - please make them in other colors besides black and navy!,
77,"Such cute, soft and comfortable shorts. can be worn as night wear or out and about.",
78,"Great swimsuit, love the fabric and pattern. the top lacks support.",
79,,
80,Nice basic top...i will get plenty of use out of this! love the neckline.,
81,,
83,,
84,,
85,,
86,,
87,I love this shirt. the neckline is flattering and the overall feel is very comfy.,
88,,
89,"The sweater is cute, but scratchy.",
90,The fit is not as shown on the website. will be returning.,
